ticker,sector
AAPL,Information Technology
MSFT,Information Technology
NVDA,Information Technology
AVGO,Information Technology
ORCL,Information Technology
CSCO,Information Technology
JNJ,Health Care
PFE,Health Care
MRK,Health Care
ABBV,Health Care
LLY,Health Care
UNH,Health Care
JPM,Financials
BAC,Financials
WFC,Financials
GS,Financials
MS,Financials
C,Financials
AMZN,Consumer Discretionary
TSLA,Consumer Discretionary
HD,Consumer Discretionary
MCD,Consumer Discretionary
NKE,Consumer Discretionary
SBUX,Consumer Discretionary
PG,Consumer Staples
KO,Consumer Staples
PEP,Consumer Staples
WMT,Consumer Staples
COST,Consumer Staples
MDLZ,Consumer Staples
XOM,Energy
CVX,Energy
COP,Energy
SLB,Energy
EOG,Energy
OXY,Energy
CAT,Industrials
HON,Industrials
UNP,Industrials
BA,Industrials
GE,Industrials
DE,Industrials
LIN,Materials
APD,Materials
SHW,Materials
FCX,Materials
NEM,Materials
DOW,Materials
NEE,Utilities
DUK,Utilities
SO,Utilities
D,Utilities
AEP,Utilities
EXC,Utilities
PLD,Real Estate
AMT,Real Estate
EQIX,Real Estate
SPG,Real Estate
O,Real Estate
PSA,Real Estate
GOOGL,Communication Services
META,Communication Services
NFLX,Communication Services
DIS,Communication Services
VZ,Communication Services
T,Communication Services
